"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"51","female","Cincinnati, OH","11","3","0","0","0","1392","222736"
"334","None","Toronto, Canada","4","2","0","0","0","2030","822371"
"19","female","Chicago, IL","2","2","0","0","0","1983","858036"
"449","male","Carmel, Indiana","46","6","0","0","0","2837","933109"
"54","female","Chicago, IL","26","2","0","0","0","3033","643430"
"20","None","chicago, il","11","6","0","0","0","684","598544"
"65","male","Chicago, IL","4","2","0","0","0","1339","328150"
"39","female","Chicago, IL","0","2","0","0","0","899","356978"
"185","male","Chicago, IL","7","3","0","0","0","1006","563118"
"87","female","Chicago, IL","14","2","0","0","0","8906","254566"
"76","female","Chicago, IL","0","2","0","0","0","664","673527"
"64","female","Los Angeles, CA","45","3","0","0","0","3093","754319"
"8","female","Chicago, IL","1","2","0","0","0","47","303012"
"14","male","Chicago, IL","9","2","0","0","0","856","967629"
"323","male","Lancaster, NY","2","8","0","0","0","3111","482811"
"59","female","Milwaukee, WI","11","4","0","0","0","2240","821340"
"24","female","Ridott, Illinois","0","2","0","0","0","1147","315353"
"42","male","Chicago, IL","0","2","0","0","0","584","777787"
"81","female","Chicago, IL","0","2","0","0","0","1632","266659"
"21","male","Hometown, IL","0","2","0","0","0","165","935264"
"77","female","New York, New York ","0","6","0","0","0","906","412670"
"227","female","Ar Riyad","2","2","0","0","0","566","346737"
"151","male","Chicago, IL","2","2","0","0","0","325","324363"
"354","male","Chicago, IL","66","5","0","0","0","4362","886622"
"18","male","chicago, il","8","2","0","0","0","1580","918512"
"98","male","Chicago, IL","32","26","0","0","0","4122","550140"
"28","female","Syracuse, NY","0","2","0","0","0","1042","290101"
"41","female","Chicago, IL","15","2","0","0","0","3506","526085"
"33","female","chicago, il","2","2","0","0","0","321","141838"
"49","female","Milwaukee, WI","2","3","0","0","0","308","162276"
"104","female","Chicago, IL","10","5","0","0","0","1493","127263"
"17","male","Chicago, IL","0","2","0","0","0","388","961018"
"52","male","Chicago, IL","2","2","0","0","0","1681","196580"
"320","female","Chicago, IL","23","8","0","0","0","2014","655783"
"111","male","Irwindale, CA","28","2","0","0","0","2637","531008"
"186","female","Chicago","7","2","0","0","0","448","265707"
"39","female","None","54","3","0","0","0","5018","426383"
"91","female","Chicago, IL","2","3","0","0","0","1605","257968"
"16","male","Redmond, Washington","1","2","0","0","0","1909","202395"
"55","male","Chicago, IL","2","2","0","0","0","246","487029"
"71","female","ON, Canada","1","2","0","0","0","941","652360"
"11","male","None","9","4","0","0","0","180","814848"
"10","female","Chicago, IL","0","2","0","0","0","247","851459"
"68","female","Chicago, IL","29","45","0","0","0","5685","288084"
"43","female","Chicago, IL","1","3","0","0","0","4754","550694"
"194","female","Chicago, IL","59","3","0","0","0","2982","820024"
