"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"21","male","город Москва, Россия","2","2","0","0","0","483","541151"
"66","female","Moskva","2","2","0","0","0","1704","312321"
"987","female","город Москва, Россия","93","16","0","0","0","10320","702900"
"183","female","город Москва, Россия","12","4","0","0","0","10006","756553"
"21","female","Washington, D.C.","15","2","0","0","0","2951","577215"
"87","male","Москва","22","3","0","0","0","3468","921521"
"40","female","Москва","7","2","0","0","0","372","722410"
"40","male","Moscow, Russia","4","2","0","0","0","483","568863"
"100","male","Moscow","0","2","0","0","0","6174","913385"
"38","female","New York, NY","1","2","0","0","0","2342","627181"
"22","female","Moskva","1","2","0","0","0","1997","469961"
"45","male","Moscow, Russia","10","12","0","0","0","1308","801437"
"11","female","Moskovsskaya","1","2","0","0","0","555","276092"
"47","female","moscow","26","2","0","0","0","321","741920"
"100","female","Moskva","6","2","0","0","0","766","817686"
"23","female","Moscow, 48","0","2","0","0","0","168","812191"
"14","female","MO; Moscow","1","2","0","0","0","1471","451523"
"24","male","Moskva","1","2","0","0","0","1263","650752"
"68","female","город Москва, Россия","0","2","0","0","0","998","405927"
"93","male","Moscow, Moskva","38","2","0","0","0","843","891685"
"21","female","Sevastopol, Moscow","5","3","0","0","0","671","261662"
"23","female","Moscow, 48","3","2","0","0","0","845","149618"
"13","female","Москва","0","2","0","0","0","588","409677"
"14","None","None","0","2","0","0","0","221","463333"
"52","male","Moskva","45","2","0","0","0","2540","832400"
"23","female","Россия, Москва","0","2","0","0","0","500","930442"
"28","female","Moscow","0","2","0","0","0","1180","567298"
"83","male","город Москва, Россия","8","3","0","0","0","3143","217707"
"20","female","Moscow","0","2","0","0","0","117","893161"
"117","female","город Москва, Россия","8","5","0","0","0","783","381472"
"6","female","Moscow, Moscow","0","2","0","0","0","120","856349"
"195","male","город Москва, Россия","0","2","0","0","0","346","483433"
"49","male","город Москва, Россия","5","2","0","0","0","2397","377637"
"74","female","Moscow","3","2","0","0","0","2083","351322"
"52","female","Moscow","63","3","0","0","0","1321","697596"
"791","female","город Щелково, Россия","5","2","0","0","0","482","166964"
"13","female","Moscow, Russia","53","2","0","0","0","914","237189"
"19","female","Moscow ","0","2","0","0","0","65","705943"
"21","male","город Москва, Россия","1","3","0","0","0","1407","866729"
"28","female","Москва, Россия","0","2","0","0","0","987","743854"
"117","female","New York, NY","10","2","0","0","0","922","112258"
"18","male","Dedowsk","1","2","0","0","0","628","553410"
"16","male","Moscow ","0","2","0","0","0","65","780136"
"19","female","Москва","3","2","0","0","0","3510","367405"
"14","female","St. Petersburg","4","2","0","0","0","575","768543"
"28","female","город Москва, Россия","1","3","0","0","0","1150","815037"
