"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"111","female","New York, NY","10","16","0","0","0","2937","971581"
"130","male","New York, NY","17","6","0","0","0","5397","200218"
"60","female","Brooklyn, NY","0","2","0","0","0","499","685696"
"128","male","Brooklyn, NY","3","2","0","0","0","377","340734"
"107","female","New York, NY","4","4","0","0","0","2013","112837"
"82","male","Hoboken NJ","3","2","0","0","0","1961","222475"
"401","male","Brooklyn, New York","10","3","0","0","0","2083","833505"
"87","male","New York, NY","17","5","0","0","0","830","449965"
"40","female","New York, NY","1","2","0","0","0","873","681699"
"359","male","Plainview, NY","10","2","0","0","0","858","742169"
"39","male","Brooklyn, NY","120","15","0","0","0","5609","103925"
"23","male","Bergen, Nederland","3","2","0","0","0","1484","352507"
"459","female","New York ,United States","0","2","0","0","0","4245","648994"
"191","female","New York, NY","17","8","0","0","0","5539","401026"
"2","female","Santa Monica, CA","8","2","0","0","0","1112","876206"
"99","male","NYC - New York ","1","3","0","0","0","1518","707203"
"74","female","New York, NY","96","4","0","0","0","1283","131046"
"722","female","✈️ɴz→ĸʟ→ᴅc ","32","3","0","0","0","10385","335078"
"104","male","New York, NY","62","7","0","0","0","1387","399502"
"48","female","New York, New York","3","2","0","0","0","579","259130"
"69","male","New York, NY","0","2","0","0","0","338","188039"
"53","male","Philly","17","5","0","0","0","1421","244952"
"59","female","New York, NY","7","2","0","0","0","1315","419062"
"134","female","New York, NY","14","5","0","0","0","1323","182783"
"112","male","New York, New York","12","3","0","0","0","3821","833350"
"1001","male","New York City","67","10","0","0","0","12465","481158"
"49","female","New York, NY","54","9","0","0","0","3277","238194"
"187","female","Simsbury, CT","2","4","0","0","0","601","775950"
"147","male","New York ","68","2","0","0","0","1689","977595"
"93","male","Brooklyn, new york","0","2","0","0","0","1687","215523"
"158","female","Macapá, Brasil","0","4","0","0","0","266","657920"
"33","female","Knoxville, TN","0","2","0","0","0","558","887698"
